iter	RMSE
0	0.9983585826
1	0.9964563378
2	0.9947249573
3	0.9929232899
4	0.991540107
5	0.9904215098
6	0.9889106597
7	0.9877532393
8	0.9868916739
9	0.9860544319
10	0.9848259872
11	0.9831794154
12	0.9824887811
13	0.9817391447
14	0.9810424339
15	0.9805772294
16	0.979740424
17	0.9789567062
18	0.9782513794
19	0.9775660827
20	0.977077878
21	0.9765587286
22	0.9757410865
23	0.9750663614
24	0.9746982078
25	0.9738870058
26	0.9731540501
27	0.9722055208
28	0.9712114516
29	0.9702497146
30	0.9694914642
31	0.968780606
32	0.9680270524
33	0.9675500464
34	0.9668562152
35	0.9661825662
36	0.9658966977
37	0.9654172852
38	0.9646822479
39	0.964128215
40	0.9632588243
41	0.9628278372
42	0.9621352804
43	0.9617819354
44	0.9613972132
45	0.9609727979
46	0.9603296144
47	0.9597483167
48	0.9591785826
49	0.9584180194
50	0.9579745371
51	0.957235937
52	0.9567310197
53	0.9560264724
54	0.9554037956
55	0.9544933482
56	0.9537746721
57	0.9533416892
58	0.9527250771
59	0.9524803022
60	0.9517501857
61	0.9510317635
62	0.950379454
63	0.950111158
64	0.9494357409
65	0.9487050175
66	0.9481432215
67	0.9477859756
68	0.9471274656
69	0.9461756268
70	0.9453971168
71	0.9449899213
72	0.9445085358
73	0.9441573601
74	0.9436144474
75	0.942983919
76	0.9424303147
77	0.9416466458
78	0.941008929
79	0.9405997837
80	0.9395461806
81	0.9391150651
82	0.9386323346
83	0.9379560389
84	0.9376633464
85	0.9371488872
86	0.9367133046
87	0.9361894155
88	0.935838593
89	0.9353448955
90	0.9345738475
91	0.9338987504
92	0.9331872998
93	0.9326156455
94	0.9321416114
95	0.9315159249
96	0.931014191
97	0.9302901543
98	0.9298014053
99	0.9294372765
