iter	Passed	Remaining
0	130	12909
1	135	6628
2	140	4558
3	146	3512
4	150	2867
5	155	2441
6	161	2140
7	165	1908
8	172	1739
9	177	1595
10	181	1467
11	185	1359
12	189	1268
13	193	1189
14	198	1127
15	203	1068
16	208	1015
17	212	969
18	216	924
19	221	886
20	225	849
21	231	819
22	235	789
23	240	762
24	244	734
25	248	707
26	253	684
27	259	666
28	263	645
29	268	625
30	273	608
31	277	590
32	282	572
33	286	556
34	291	541
35	296	527
36	300	512
37	306	499
38	311	486
39	315	472
40	320	461
41	325	449
42	329	437
43	333	424
44	337	412
45	341	400
46	347	391
47	352	381
48	358	372
49	362	362
50	365	351
51	370	341
52	374	332
53	380	324
54	385	315
55	389	306
56	393	296
57	397	287
58	401	278
59	405	270
60	410	262
61	415	254
62	419	246
63	423	238
64	427	230
65	431	222
66	435	214
67	441	207
68	446	200
69	450	193
70	454	185
71	458	178
72	462	171
73	466	164
74	472	157
75	477	150
76	481	143
77	485	137
78	489	130
79	494	123
80	499	117
81	503	110
82	509	104
83	513	97
84	516	91
85	521	84
86	525	78
87	530	72
88	535	66
89	540	60
90	545	53
91	548	47
92	552	41
93	556	35
94	561	29
95	567	23
96	571	17
97	575	11
98	579	5
99	583	0
