Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD
2001,6,32,2,-1.194038356276448,-1.4467549585641066,-0.003097918305040118,-0.5038777253662585,0.9537064150722676,-1.5664880029054673,-1.026603932310268,-1.2258519312865441,0.9085832053188155,4,0.3238281546522553
2024,4,8,2,-1.047523081243419,1.6173218276093064,1.696752023576481,-0.5038777253662585,0.9537064150722676,-1.7007858938173346,0.5592913773661924,-0.9308285748957645,-0.5388138990391328,0,-0.1397556684346265
2001,5,4,9,0.5118180601795306,-0.3850097608528902,1.222889745257454,-0.5219085292151803,0.006033517448206489,1.1225482770146744,0.16937368808542633,0.5418499975011848,0.14254717369317538,4,0.2968455518494808
2001,3,18,1,1.099623389776325,-0.5680958366223936,-0.15561870076153284,1.6528067572297631,0.006033517448206489,1.4935029097912937,-0.7298524165744639,1.309886007939991,1.3116558166590038,2,0.2808057593149756
1998,6,28,7,-1.1382230134067228,0.019647983217933603,-0.4001176650047653,-1.1620020658519001,1.2695973809469547,1.5585354128403068,1.3384366361236872,1.3273017904896238,-0.7571861614482521,0,-0.6579086049785073
2019,9,6,1,0.16994908510246343,-0.7907482817314183,-0.5258599894727134,-0.06011960841779703,0.006033517448206489,-0.10768197297168683,0.07620751454046445,0.7518843350497563,1.6052947091955287,4,-0.7752116660441056
1997,0,11,4,0.7167650222793032,0.2543504685967657,1.449924497769027,-0.6300933523087104,-0.9416393801758546,-1.3479172234271273,-1.6835979857532577,-0.7402999138027818,0.702590322864862,3,-0.467339443375026
2021,1,7,5,0.9060139191969653,-1.0254880352760332,-0.8704871009774603,1.0317457357669049,-0.30985744842648055,0.434127283199973,-0.7947236781539188,-0.32998407693343307,-0.086223767878283,1,1.6761952408747551
2012,6,20,9,1.4685279215559153,-0.4702793241641856,-1.0649219915899357,0.7512665647836788,-1.2575303460505416,-0.36088544638145426,-1.0259138125062313,-0.6072433351235872,-1.1186640561390842,4,0.2121293584481105
2018,7,10,0,0.5222834369676042,-1.4116483463966065,1.2217254644753435,-1.4775411332080295,-1.2575303460505416,-1.1355033673143742,1.3405069955357976,0.7992552635847575,0.9561200243466507,2,-1.2243983259524256
